,translate,zeta_media,citizen_dist,media_dist,repetition
1372,0,0.75,uniform,uniform,2
1373,0,0.75,uniform,uniform,3
1374,0,0.75,uniform,uniform,4
1375,0,1,uniform,uniform,0
1376,0,1,uniform,uniform,1
1377,0,1,uniform,uniform,2
1378,0,1,uniform,uniform,3
1379,0,1,uniform,uniform,4
1390,0,0.75,uniform,uniform,0
1391,0,0.75,uniform,uniform,1
1392,0,0.75,uniform,uniform,2
1393,0,0.75,uniform,uniform,3
1394,0,0.75,uniform,uniform,4
1395,0,1,uniform,uniform,0
1396,0,1,uniform,uniform,1
1397,0,1,uniform,uniform,2
1398,0,1,uniform,uniform,3
1399,0,1,uniform,uniform,4
1410,0,0.75,uniform,uniform,0
1411,0,0.75,uniform,uniform,1
1412,0,0.75,uniform,uniform,2
1413,0,0.75,uniform,uniform,3
1414,0,0.75,uniform,uniform,4
1415,0,1,uniform,uniform,0
1416,0,1,uniform,uniform,1
1417,0,1,uniform,uniform,2
1418,0,1,uniform,uniform,3
1419,0,1,uniform,uniform,4
1430,0,0.75,uniform,uniform,0
1431,0,0.75,uniform,uniform,1
1432,0,0.75,uniform,uniform,2
1433,0,0.75,uniform,uniform,3
1434,0,0.75,uniform,uniform,4
1435,0,1,uniform,uniform,0
1436,0,1,uniform,uniform,1
1437,0,1,uniform,uniform,2
1438,0,1,uniform,uniform,3
1439,0,1,uniform,uniform,4
1455,1,1,normal,normal,0
1456,1,1,normal,normal,1
1457,1,1,normal,normal,2
1458,1,1,normal,normal,3
1459,1,1,normal,normal,4
1475,1,1,normal,normal,0
1476,1,1,normal,normal,1
1477,1,1,normal,normal,2
1478,1,1,normal,normal,3
1479,1,1,normal,normal,4
1495,1,1,normal,normal,0
1496,1,1,normal,normal,1
1497,1,1,normal,normal,2
1498,1,1,normal,normal,3
1499,1,1,normal,normal,4
1515,1,1,normal,normal,0
1516,1,1,normal,normal,1
1517,1,1,normal,normal,2
1518,1,1,normal,normal,3
1519,1,1,normal,normal,4
1530,1,0.75,polarized,normal,0
1535,1,1,polarized,normal,0
1536,1,1,polarized,normal,1
1537,1,1,polarized,normal,2
1538,1,1,polarized,normal,3
1539,1,1,polarized,normal,4
1551,1,0.75,polarized,normal,1
1553,1,0.75,polarized,normal,3
1555,1,1,polarized,normal,0
1556,1,1,polarized,normal,1
1557,1,1,polarized,normal,2
1558,1,1,polarized,normal,3
1559,1,1,polarized,normal,4
1570,1,0.75,polarized,normal,0
1571,1,0.75,polarized,normal,1
1573,1,0.75,polarized,normal,3
1574,1,0.75,polarized,normal,4
1575,1,1,polarized,normal,0
1576,1,1,polarized,normal,1
1577,1,1,polarized,normal,2
1578,1,1,polarized,normal,3
1579,1,1,polarized,normal,4
1594,1,0.75,polarized,normal,4
1595,1,1,polarized,normal,0
1596,1,1,polarized,normal,1
1597,1,1,polarized,normal,2
1598,1,1,polarized,normal,3
1599,1,1,polarized,normal,4
1615,1,1,uniform,normal,0
1616,1,1,uniform,normal,1
1617,1,1,uniform,normal,2
1618,1,1,uniform,normal,3
1619,1,1,uniform,normal,4
1635,1,1,uniform,normal,0
1636,1,1,uniform,normal,1
1637,1,1,uniform,normal,2
1638,1,1,uniform,normal,3
1639,1,1,uniform,normal,4
1655,1,1,uniform,normal,0
1656,1,1,uniform,normal,1
1657,1,1,uniform,normal,2
1658,1,1,uniform,normal,3
1659,1,1,uniform,normal,4
1675,1,1,uniform,normal,0
1676,1,1,uniform,normal,1
1677,1,1,uniform,normal,2
1678,1,1,uniform,normal,3
1679,1,1,uniform,normal,4
1695,1,1,normal,polarized,0
1696,1,1,normal,polarized,1
1697,1,1,normal,polarized,2
1698,1,1,normal,polarized,3
